整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
897439,108917,発送完了,未設定,2024-12-26 12:40,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH366,"ﾋﾟｸｾﾙ風ｻﾝｸﾞﾗｽ15.5cm ",65,480,0.5,箱,15600,17160,800,"12/26出荷完了",2024年07月 末,納品前,オススメ商品,SNS・流行り物,
829560,101533,発送完了,2024-10-15,2024-10-14 17:31,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS332,"即納　アミューズ不可　バンダイ　パンどろぼう　カプセルマスコットウォッチ  400円",240,30,1,袋,7200,7920,0,"発注受付
よ￥同梱",2024年11月 ,納品前,ガチャ景品,超即納（おもちゃ）,超即納（ガチャ）,
827856,101429,発送完了,2024-12-02,2024-10-12 13:12,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ240,"お一人焼肉プレート12【紙箱入り】【箱サイズ：約H17.7*W32.2*D11.2cm】【商品サイズ：H10.5*W31.5*D10.5cm】",800,20,1,箱,16000,17600,5000,"商品発送12/2
納品予定12/4",2024年10月 即納,納品前,即納,電子商品,箱物系,
827717,101429,発送完了,2024-12-02,2024-10-12 13:12,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ239,"お一人焼き鳥グリル12【紙箱入り】【箱サイズ：約H17.7*W32.2*D11.2cm】【商品サイズ：H10.5*W31.5*D10.5cm】",800,20,1,箱,16000,17600,5000,"商品発送12/2
納品予定12/4",2024年11月 即納,納品前,即納,電子商品,箱物系,
827715,101429,発送完了,2024-12-02,2024-10-12 13:12,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JY606,"どでかトランプ対戦 スピード編【パッケージサイズ：W36×D5×H25cm】【2個口】★",680,48,1,箱,32640,35904,0,"発注受付",2024年12月 上旬,納品前,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
827705,101424,発送完了,未設定,2024-10-11 23:18,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,KA549,"携帯ゲーム機GAME Ark S mini3 96入＠589(ハーフ/クォーター+1000円)【箱サイズ:約9.7cm カラーパッケージ入】",56500,1,1,箱,56500,62150,0,"12/11発送完了",2025年01月 即納,納品前,即納,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
827704,101423,発送完了,未設定,2024-10-11 23:18,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KA549,"携帯ゲーム機GAME Ark S mini3 96入＠589(ハーフ/クォーター+1000円)【箱サイズ:約9.7cm カラーパッケージ入】",56500,1,1,箱,56500,62150,0,"12/11発送完了",2025年01月 即納,納品前,即納,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
817899,100572,発送完了,未設定,2024-10-04 13:59,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JU077,"ドバイチョコ(PK9X6X2cm）",544,96,1,箱,52224,56402,0,"発注受付
12/23出荷",2024年12月 中~下,納品前,お菓子,SNS・流行り物,
786574,97176,発送完了,未設定,2024-09-05 19:46,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JV830,"12月上旬発売　9/12締切　5種　サンリオマスコット　ギャル　PP袋入　約H150×W100×D80mm",917,50,1,箱,45850,50435,0,"9/12納期遅延連絡済み
12月伝票変更
納期変更前：10月中旬
納期変更後：12月上旬
12/3発送完了",2024年12月 上旬,納品前,オススメ商品,
781137,96925,発送完了,2024-12-27,2024-09-03 17:59,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JU778,"●9/9締切 300　エール　ぶるにゃん",180,40,3,袋,21600,23760,540,"￥ウ　",2024年12月 中旬,納品前,ガチャ景品,
774094,96126,発送完了,未設定,2024-08-27 13:11,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS064,"12月中旬発売　9/10締切　3種　キティ　カラビナ付フェイスポーチ　約H115×W130×D70mm",917,54,1,箱,49518,54470,0,"発注受付
12/14発送完了",2024年12月 中旬,納品前,オススメ商品,
771326,95641,発送完了,未設定,2024-08-27 13:04,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS064,"12月中旬発売　9/10締切　3種　キティ　カラビナ付フェイスポーチ　約H115×W130×D70mm",917,54,1,箱,49518,54470,0,"発注受付
12/14発送完了",2024年12月 中旬,納品前,オススメ商品,
773682,95641,発送完了,2024-12-19,2024-08-27 13:04,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ228,"U1600　ゼンマイで動く！Bellabot 5種不均等(192入)　サイズ：約H9×W4×D4ｃm",300,192,0.5,箱,28800,31680,1100,"12/19着発送完了",2024年12月 中下旬,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765883,94822,発送完了,2024-12-19,2024-08-16 21:48,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JG504,"サンリオぬいぐるみブランケット　キティ・マイメロディ・クロミ【商品サイズ　H60×W100cm】【PKG　PP】",1000,30,1,箱,30000,33000,1500,"12月19日出荷　12月21日着",2024年12月 下旬予定,納品前,即納,
765870,94821,発送完了,2024-12-05,2024-08-16 20:51,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ088,"U1531　Calbeeじゃがりこラバーマスコット付きボールペン 4種(320入)　サイズ：約H14ｃm",180,320,0.5,箱,28800,31680,1100,"12/5着発送完了",2024年12月 中下旬,納品前,即納,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765871,94821,発送完了,2024-12-24,2024-08-16 20:51,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JR417,"クレヨンしんちゃんマスコット付き4色ボールペン【商品サイズ　H14.5×W1.2×D1.2cm】",200,240,0.5,箱,24000,26400,0,"12月24日出荷　12月26日着",2024年12月 下旬予定,納品前,即納,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765872,94821,発送完了,2024-12-24,2024-08-16 20:51,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JR414,"おさるのジョージマスコット付き4色ボールペン【商品サイズ　H14.5×W1.2×D1.2cm】",200,240,0.5,箱,24000,26400,0,"12月24日出荷　12月26日着",2024年12月 下旬予定,納品前,即納,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765800,94806,発送完了,2024-12-10,2024-08-16 20:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ084,"U1584　ミニアニマルしっぽぶるぶるマスコットBC 5種(300入)　サイズ：約H8×直径3ｃm",192,300,0.5,箱,28800,31680,1100,"12/10着発送完了",2024年12月 中下旬,納品前,即納,小型機用,ぬいぐるみ,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765798,94806,発送完了,2024-12-05,2024-08-16 20:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ088,"U1531　Calbeeじゃがりこラバーマスコット付きボールペン 4種(320入)　サイズ：約H14ｃm",180,320,0.5,箱,28800,31680,1100,"12/5着発送完了",2024年12月 中下旬,納品前,即納,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765801,94806,発送完了,2024-12-24,2024-08-16 20:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JR417,"クレヨンしんちゃんマスコット付き4色ボールペン【商品サイズ　H14.5×W1.2×D1.2cm】",200,240,0.5,箱,24000,26400,0,"12月24日出荷　12月26日着",2024年12月 下旬予定,納品前,即納,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765802,94806,発送完了,2024-12-24,2024-08-16 20:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JR414,"おさるのジョージマスコット付き4色ボールペン【商品サイズ　H14.5×W1.2×D1.2cm】",200,240,0.5,箱,24000,26400,0,"12月24日出荷　12月26日着",2024年12月 下旬予定,納品前,即納,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765840,94806,発送完了,2024-12-24,2024-08-16 20:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JI905,"雪見だいふく ワイヤレスイヤホン【商品サイズ:約W9×D3×H6㎝】☆",1000,60,0.5,箱,30000,33000,1000,"発注受付",2024年12月 中～下旬,納品前,電子商品,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765480,94780,発送完了,2024-12-19,2024-08-16 17:09,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JK846,"ジャグラーサウンドフラッシュボタンmini３（GOLD＆SILVER）【商品サイズ:約H6.2×W4.4×D1.4㎝】☆",680,96,1,箱,65280,71808,0,"発注受付",2024年12月 中旬～下旬,納品前,電子商品,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,

発注数,34.75,
入数,3664.5,
商品件数,43,件
商品合計(税別),1347115,円
送料合計(税別),27580,円
総合計(税込),1511121,円
