整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
800762,98891,発送完了,未設定,2024-09-20 14:27,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS245,"【価格改定】ダイヤカットクリアストーン クリア10kg(送料+1000円 ハーフ不可)[FR184からコピー]",9000,1,1,箱,9000,9900,1000,"9/24発送完了",2024年09月 即納,納品前,備品,
800758,98891,発送完了,未設定,2024-09-20 14:27,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS251,"【価格改定】 ダイヤカットクリアストーン パープル10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/24発送完了",2025年06月 即納,納品前,即納,備品,
799777,98660,発送完了,未設定,2024-09-18 22:05,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH366,"ﾋﾟｸｾﾙ風ｻﾝｸﾞﾗｽ15.5cm ",65,480,0.5,箱,15600,17160,800,"9/24出荷",2024年07月 末,納品前,オススメ商品,SNS・流行り物,
781806,96954,発送完了,2024-09-18,2024-09-03 19:52,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JV120,"サンリオマスコット付きリストバンド　約H230×W130×D60mm",534,100,1,箱,53400,58740,0,"発注受付",2024年09月 中旬予定,納品前,オススメ商品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,SNS・流行り物,
781810,96954,発送完了,2024-09-04,2024-09-03 19:52,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,,"イノセントデジタルウォッチTYPE-G[PP袋][商品サイズ：5*1.8*23cm]",350,144,2,箱,100800,110880,0,"9/4発送完了",2025年01月 上旬,納品前,小型機用,電子商品,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
781306,96925,発送完了,2024-09-04,2024-09-03 17:59,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,IZ180,"CuriousGeorgeTOYSTYLEぬいぐるみ40cm立ち3種AS[PP袋][商品サイズ40*30*20cm]",980,36,1,箱,35280,38808,0,"9/4発送完了",2024年09月 完売,納品前,大型機用,ぬいぐるみ,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
779812,96823,発送完了,未設定,2024-09-02 23:49,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JV153,"【特価T】Ty Beanie Boo''s（L）6種AS",275,130,0.5,箱,17875,19663,1000,"*9/4出荷",2024年09月 ,納品前,即納,特価品,ぬいぐるみ,ラクチャレW景品（上部）,
777496,96533,発送完了,未設定,2024-08-31 16:44,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JB563,"ミニクレーンキーホルダー",285,192,0.5,箱,27360,30096,1000,"発注受付
9/10出荷",2025年06月 下,納品前,小型機用,SNS・流行り物,
777486,96452,発送完了,未設定,2024-08-31 16:38,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH366,"ﾋﾟｸｾﾙ風ｻﾝｸﾞﾗｽ15.5cm ",65,480,0.5,箱,15600,17160,800,"9/2出荷完了",2024年07月 末,納品前,オススメ商品,SNS・流行り物,
774093,96126,発送完了,2024-09-02,2024-08-27 13:11,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,IY650,"ガムガシャマシーンロング13【紙箱入り】【箱サイズ：約H33*W13.7*D12.7cm】【商品サイズ：H31.5*W12*D12cm】",850,24,1,箱,20400,22440,6000,"商品発送9/2
納品予定9/4",2024年09月 即納,納品前,即納,箱物系,おもちゃ担当オススメ品,
770254,95502,発送完了,未設定,2024-08-22 20:42,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH628,"プレミアムエアーベッドBuona 48入＠990(送料:1ct+2000円・ハーフ/クォーター+1000円)【箱サイズ:約26cm カラーパッケージ入】",47500,1,1,箱,47500,52250,2000,"8/28発送完了（9月伝票）",2024年08月 即納,納品前,クォーター,箱物系,
770031,95420,発送完了,未設定,2024-08-22 17:10,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,IY485," コンパクトボイスチェンジャー3～SPACE～ 240入＠235.4(ハーフ/クォーター+1000円)【サイズ:約6.7cm 個別OPP袋入】",56500,1,2,箱,113000,124300,0,"9/24発送完了",2024年09月 即納,納品前,小型機用,電子商品,クォーター,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
770029,95420,発送完了,未設定,2024-08-22 17:10,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JK828," 完全ワイヤレスイヤホンRevolution9 96入＠479(ハーフ/クォーター+1000円)【サイズ:約6.5x3x6.5cm カラーPKG入】",46000,1,2,箱,92000,101200,0,"9/26発送完了",2024年09月 下旬,納品前,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
769363,95380,発送完了,未設定,2024-08-22 12:25,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JB425,"ﾄﾛｰﾘ地球ｸﾞﾐ",210,240,0.5,箱,25200,27216,800,"8/27 出荷完了",2024年06月 末,納品前,オススメ商品,お菓子,SNS・流行り物,
769293,95359,発送完了,未設定,2024-08-21 17:40,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH390,"【バズリ中*マイナビニュースにもなりました！】しっぽぶんぶん！ポメラニアン 4種144入＠368(ハーフ/クォーター+1000円)【サイズ:約9cm 大袋入】[IY444からコピー][JC150からコピー]",53000,1,1,箱,53000,58300,0,"9/18発送完了",2024年09月 下旬,納品前,ぬいぐるみ,クォーター,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,SNS・流行り物,
769292,95358,発送完了,未設定,2024-08-21 17:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH390,"【バズリ中*マイナビニュースにもなりました！】しっぽぶんぶん！ポメラニアン 4種144入＠368(ハーフ/クォーター+1000円)【サイズ:約9cm 大袋入】[IY444からコピー][JC150からコピー]",53000,1,1,箱,53000,58300,0,"9/18発送完了",2024年09月 下旬,納品前,ぬいぐるみ,クォーター,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,SNS・流行り物,
768283,95185,発送完了,2024-09-02,2024-08-20 13:10,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,IZ179,"CuriousGeorgeTOYSTYLEぬいぐるみ18cm立ち3種AS[PP袋][商品サイズ18*15*10cm]",610,72,0.5,箱,21960,24156,1000,"9/2発送完了",2024年09月 上旬,納品前,小型機用,ぬいぐるみ,ラクチャレW景品（上部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
768284,95185,発送完了,2024-09-02,2024-08-20 13:10,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH332,"おさるのジョージころんとミニがま口【商品サイズ:約6㎝】○",380,180,0.5,箱,34200,37620,1000,"発注受付",2024年07月 即納,納品前,オススメ商品,即納,小型機用,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
765813,94806,発送完了,未設定,2024-08-16 20:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JI894,"サンリオ　パイルケット　本体サイズ：約W100×W70㎝　3種均等AS　※投入制限地域ございます。　※SNS等での告知はお控えください。",745,72,0.5,箱,26820,29502,1000,"発注受付
8/下旬出荷
9/2納期遅延連絡済み
9月伝票変更
納期変更前：8月下旬
納期変更後：9月上中旬
9/18出荷",2024年08月 下旬,納品前,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
746650,92814,発送完了,未設定,2024-07-28 23:37,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JG294,"サンリオ 合皮がまぐち S 和柄　【商品サイズ】H70×W80×D25mm",315,144,0.5,箱,22680,24948,1000,"8/27発送完了",2024年09月 上旬,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
741215,92059,発送完了,2024-09-05,2024-07-20 10:08,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,,"ゼンマイモンスターがぶがぶ＆目玉[PP包装+デメリットシール][本体サイズ：W40×D45×H50mm]",120,600,1,箱,72000,79200,0,"9/5発送完了",2024年09月 完売,納品前,小型機用,ラクチャレキュート景品,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
741225,92059,発送完了,2024-09-19,2024-07-20 10:08,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,,"ぷにっと！むけちゃった！フルーツマスコットBC2[PP包装+デメリットシール][本体サイズ：W37×D37×H37mm]",140,360,1,箱,50400,55440,0,"9/19発送完了",2024年09月 中下旬,納品前,小型機用,ラクチャレキュート景品,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
710104,87973,発送完了,2024-09-26,2024-06-10 22:09,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JB095,"アンパンマンボアひざ掛け6種アソート【商品サイズ　H70×W100cm】【PKG　PP】",1000,60,0.5,箱,30000,33000,0,"9月26日出荷　9月28日着",2024年09月 下旬予定,納品前,オススメ商品,即納,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
700522,86881,発送完了,2024-09-18,2024-06-03 17:46,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JA268,"【フリュー】17236/クロミ超超BIGぬいぐるみ～ウインク～24個入り約61cm",24000,1,0.5,箱,12000,13200,2000,"9/18発送済",2024年09月 1週,納品前,オススメ商品,メーカー,大型機用,ぬいぐるみ,おもちゃ担当オススメ品,SNS・流行り物,
697216,86633,発送完了,2024-09-17,2024-05-31 13:40,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,IW618,"U1514 JUGGLERラーメンどんぶり＆レンゲセット Vol.3(ジャグラー)1種(48入)　サイズ：約H8×直径19.5ｃm",900,48,0.5,箱,21600,23760,1100,"9/17発送完了",2024年09月 中下旬,納品前,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
680282,84537,発送完了,2024-09-17,2024-05-07 16:36,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,IW618,"U1514 JUGGLERラーメンどんぶり＆レンゲセット Vol.3(ジャグラー)1種(48入)　サイズ：約H8×直径19.5ｃm",900,48,0.5,箱,21600,23760,1100,"9/17発送完了",2024年09月 中下旬,納品前,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
678304,84410,発送完了,2024-09-13,2024-05-06 00:21,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,IW298,"●5/9締切 300　アミューズ不可　バンダイ　それいけ！アンパンマン　キャラレールＮＥＷ３",180,40,4,袋,28800,31680,540,"￥ウ",2024年09月 ２週目,納品前,ガチャ景品,

発注数,35,
入数,3984.5,
商品件数,37,件
商品合計(税別),1462227,円
送料合計(税別),28140,円
総合計(税込),1636260,円
